State,Year,Immunizations_Children_Rank,Immunizations_Children_Value
Alabama,2014,6,77.0
Alaska,2014,46,63.9
Arizona,2014,45,65.1
Arkansas,2014,50,57.1
California,2014,28,69.3
Colorado,2014,29,69.2
Connecticut,2014,5,78.2
Delaware,2014,21,71.8
Florida,2014,24,70.0
Georgia,2014,27,69.8
Hawaii,2014,40,66.5
Idaho,2014,23,70.2
Illinois,2014,38,66.8
Indiana,2014,33,68.5
Iowa,2014,4,78.3
Kansas,2014,32,68.7
Kentucky,2014,16,72.7
Louisiana,2014,31,69.1
Maine,2014,35,68.0
Maryland,2014,7,75.8
Massachusetts,2014,3,78.5
Michigan,2014,24,70.0
Minnesota,2014,12,74.1
Mississippi,2014,11,74.6
Missouri,2014,36,67.9
Montana,2014,44,65.4
Nebraska,2014,2,79.0
Nevada,2014,49,60.6
New Hampshire,2014,10,74.9
New Jersey,2014,14,72.9
New Mexico,2014,42,65.7
New York,2014,18,72.2
North Carolina,2014,19,72.0
North Dakota,2014,19,72.0
Ohio,2014,48,61.7
Oklahoma,2014,47,62.7
Oregon,2014,39,66.6
Pennsylvania,2014,8,75.5
Rhode Island,2014,1,82.1
South Carolina,2014,40,66.5
South Dakota,2014,13,73.8
Tennessee,2014,33,68.5
Texas,2014,17,72.5
Utah,2014,9,75.2
Vermont,2014,37,66.9
Virginia,2014,29,69.2
Washington,2014,22,70.8
West Virginia,2014,43,65.5
Wisconsin,2014,15,72.8
Wyoming,2014,24,70.0
United States,2014,0,70.4
District of Columbia,2014,0,76.9
