State,Year,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value
Alabama,2014,49,329.2
Alaska,2014,14,219.2
Arizona,2014,10,216.1
Arkansas,2014,47,313.7
California,2014,23,234.4
Colorado,2014,2,197.1
Connecticut,2014,11,216.5
Delaware,2014,29,246.9
Florida,2014,15,223.0
Georgia,2014,38,273.0
Hawaii,2014,3,199.1
Idaho,2014,20,230.7
Illinois,2014,32,253.9
Indiana,2014,39,274.4
Iowa,2014,26,245.4
Kansas,2014,27,245.6
Kentucky,2014,43,297.3
Louisiana,2014,46,307.5
Maine,2014,9,215.4
Maryland,2014,30,250.7
Massachusetts,2014,4,206.9
Michigan,2014,42,282.4
Minnesota,2014,1,184.7
Mississippi,2014,50,346.0
Missouri,2014,41,281.1
Montana,2014,16,224.8
Nebraska,2014,17,224.9
Nevada,2014,36,271.9
New Hampshire,2014,7,213.8
New Jersey,2014,28,246.8
New Mexico,2014,12,217.0
New York,2014,35,260.8
North Carolina,2014,31,252.2
North Dakota,2014,18,226.8
Ohio,2014,40,274.6
Oklahoma,2014,48,322.0
Oregon,2014,5,210.5
Pennsylvania,2014,34,259.7
Rhode Island,2014,19,229.1
South Carolina,2014,37,272.2
South Dakota,2014,21,233.1
Tennessee,2014,44,300.6
Texas,2014,33,255.3
Utah,2014,6,212.2
Vermont,2014,13,218.4
Virginia,2014,25,241.1
Washington,2014,8,214.8
West Virginia,2014,45,303.7
Wisconsin,2014,24,236.8
Wyoming,2014,22,233.6
District of Columbia,2014,0,288.2
United States,2014,0,251.4
